% from location i, to location j, time [sec], distance [meters] 
0, 0, 0.000000, 0.000000 
0, 1, 576.211302, 8192.865613 
0, 2, 784.796897, 13273.320107 
0, 3, 956.378392, 15113.688304 
0, 4, 833.359652, 11984.663786 
0, 5, 745.858677, 11066.911999 
0, 6, 736.922206, 10654.150230 
0, 7, 829.675344, 14368.061631 
0, 8, 801.506399, 12209.814706 
0, 9, 1331.513206, 24777.688136 
0, 10, 841.105272, 13997.050681 
0, 11, 627.411962, 8431.545746 
0, 12, 280.103563, 3646.140606 
0, 13, 962.982905, 18665.839240 
0, 14, 1137.504585, 19373.791549 
0, 15, 944.950153, 17293.626368 
0, 16, 1251.555947, 25458.435136 
0, 17, 1068.102652, 20014.923892 
0, 18, 996.178936, 17962.248605 
0, 19, 509.326044, 7321.911410 
0, 20, 1250.776631, 20461.852700 
0, 21, 1128.289418, 18552.499783 
0, 22, 1222.102021, 19766.185231 
0, 23, 1016.657870, 18029.956814 
0, 24, 677.607816, 9233.706932 
0, 25, 731.829203, 10883.441833 
1, 0, 577.260059, 8205.615614 
1, 1, 0.000000, 0.000000 
1, 2, 364.079849, 6264.344046 
1, 3, 469.382897, 7011.593099 
1, 4, 272.848769, 4312.842793 
1, 5, 477.021865, 7305.915666 
1, 6, 176.411323, 2982.329236 
1, 7, 855.236611, 17055.754614 
1, 8, 660.771404, 10225.337162 
1, 9, 963.963027, 16517.461400 
1, 10, 459.757883, 7492.161408 
1, 11, 123.656190, 1672.105636 
1, 12, 412.301348, 5732.766636 
1, 13, 592.920841, 11872.672409 
1, 14, 1079.761771, 20126.913327 
1, 15, 821.012549, 16611.716667 
1, 16, 881.493883, 18665.268304 
1, 17, 698.040588, 13221.757060 
1, 18, 852.231783, 17020.214771 
1, 19, 110.118109, 1449.276122 
1, 20, 818.174962, 13160.798480 
1, 21, 661.391532, 9030.386880 
1, 22, 755.204135, 10244.072329 
1, 23, 644.253103, 10503.652408 
1, 24, 826.541179, 14112.238347 
1, 25, 372.074508, 4925.906819 
2, 0, 747.917960, 12316.241060 
2, 1, 346.430694, 5785.702396 
2, 2, 0.000000, 0.000000 
2, 3, 522.678075, 6819.751295 
2, 4, 425.475437, 7389.033509 
2, 5, 421.453669, 5496.635775 
2, 6, 329.037991, 6058.519952 
2, 7, 734.515900, 13720.395618 
2, 8, 622.663397, 11256.330190 
2, 9, 821.597733, 10701.989554 
2, 10, 186.239362, 2445.382802 
2, 11, 407.279943, 6654.665112 
2, 12, 689.479801, 10654.882650 
2, 13, 521.748465, 8897.331668 
2, 14, 959.041059, 16791.554332 
2, 15, 700.291837, 13276.357672 
2, 16, 810.321508, 15689.927563 
2, 17, 626.868212, 10246.416319 
2, 18, 731.511071, 13684.855775 
2, 19, 424.139997, 5617.554411 
2, 20, 645.703300, 8412.378608 
2, 21, 654.532015, 8536.617293 
2, 22, 748.344618, 9750.302742 
2, 23, 420.918149, 5999.223865 
2, 24, 837.329090, 15016.246216 
2, 25, 233.275413, 3049.231453 
3, 0, 955.454097, 15097.888674 
3, 1, 471.247048, 7035.752481 
3, 2, 522.678075, 6819.751295 
3, 3, 0.000000, 0.000000 
3, 4, 368.418546, 4936.539492 
3, 5, 832.993541, 13127.226296 
3, 6, 304.227698, 4167.814160 
3, 7, 1124.725126, 20729.647148 
3, 8, 1012.872624, 18265.581719 
3, 9, 1063.243250, 14751.260164 
3, 10, 457.598212, 5972.929594 
3, 11, 458.140857, 6140.492876 
3, 12, 735.484940, 10923.526103 
3, 13, 616.242149, 9920.788195 
3, 14, 1349.250286, 23800.805861 
3, 15, 1090.501063, 20285.609201 
3, 16, 904.815191, 16713.384090 
3, 17, 721.361896, 11269.872846 
3, 18, 1121.720298, 20694.107305 
3, 19, 581.374018, 8479.890298 
3, 20, 877.359803, 12331.792047 
3, 21, 273.638562, 3584.884141 
3, 22, 415.891268, 5428.290928 
3, 23, 621.599072, 8779.225554 
3, 24, 1139.521313, 19341.305251 
3, 25, 644.248785, 10061.183769 
4, 0, 806.936973, 11136.966095 
4, 1, 246.426089, 3465.145102 
4, 2, 417.568579, 7086.446379 
4, 3, 347.593437, 4665.543445 
4, 4, 0.000000, 0.000000 
4, 5, 616.993756, 10275.436095 
4, 6, 84.098409, 1162.057130 
4, 7, 908.725341, 17877.856946 
4, 8, 796.872839, 15413.791517 
4, 9, 1017.451757, 17339.563733 
4, 10, 513.246613, 8314.263741 
4, 11, 238.011567, 3134.735846 
4, 12, 595.920496, 8394.768818 
4, 13, 646.409571, 12694.774741 
4, 14, 1133.250501, 20949.015660 
4, 15, 874.501278, 17433.818999 
4, 16, 934.982613, 19487.370637 
4, 17, 751.529318, 14043.859393 
4, 18, 905.720512, 17842.317103 
4, 19, 356.553060, 4909.282919 
4, 20, 871.663692, 13982.900813 
4, 21, 560.571547, 7437.023643 
4, 22, 702.824253, 9280.430429 
4, 23, 697.741833, 11325.754741 
4, 24, 955.499509, 17723.743776 
4, 25, 428.249000, 7209.393568 
5, 0, 744.504647, 11048.056534 
5, 1, 476.969119, 7304.860733 
5, 2, 421.453669, 5496.635775 
5, 3, 846.264832, 13744.686074 
5, 4, 649.730705, 11045.935768 
5, 5, 0.000000, 0.000000 
5, 6, 553.293258, 9715.422211 
5, 7, 550.953455, 7954.677933 
5, 8, 298.310619, 3885.220473 
5, 9, 830.015836, 10796.613586 
5, 10, 517.131702, 6724.453137 
5, 11, 558.546389, 8949.298331 
5, 12, 640.535660, 9215.689001 
5, 13, 757.996893, 10939.915318 
5, 14, 775.478614, 11025.836647 
5, 15, 516.729392, 7510.639986 
5, 16, 970.225089, 13129.841910 
5, 17, 748.225708, 9752.357881 
5, 18, 543.661538, 7074.047840 
5, 19, 410.083861, 6433.906529 
5, 20, 671.714793, 8735.716715 
5, 21, 990.966804, 15935.220160 
5, 22, 1084.779407, 17148.905608 
5, 23, 535.755161, 7062.789130 
5, 24, 548.329034, 7133.600930 
5, 25, 211.963169, 2763.991255 
6, 0, 742.909055, 10764.305143 
6, 1, 182.398172, 3092.484150 
6, 2, 353.540661, 6713.785427 
6, 3, 292.964015, 4029.112677 
6, 4, 96.429887, 1330.362372 
6, 5, 552.965838, 9902.775142 
6, 6, 0.000000, 0.000000 
6, 7, 844.697424, 17505.195994 
6, 8, 732.844921, 15041.130565 
6, 9, 953.423839, 16966.902780 
6, 10, 449.218695, 7941.602789 
6, 11, 182.075767, 2395.532050 
6, 12, 531.892578, 8022.107866 
6, 13, 582.381653, 12322.113789 
6, 14, 1069.222583, 20576.354707 
6, 15, 810.473361, 17061.158047 
6, 16, 870.954695, 19114.709684 
6, 17, 687.501400, 13671.198440 
6, 18, 841.692595, 17469.656151 
6, 19, 292.525142, 4536.621967 
6, 20, 807.635774, 13610.239861 
6, 21, 505.942125, 6800.592875 
6, 22, 648.194831, 8643.999662 
6, 23, 633.713915, 10953.093788 
6, 24, 891.471592, 17351.082823 
6, 25, 364.221082, 6836.732615 
7, 0, 806.477913, 13932.087931 
7, 1, 792.012347, 15218.522377 
7, 2, 737.634730, 13747.138164 
7, 3, 1136.836297, 21494.419339 
7, 4, 940.302169, 18795.669033 
7, 5, 543.727509, 7988.156999 
7, 6, 843.864723, 17465.155477 
7, 7, 0.000000, 0.000000 
7, 8, 310.749635, 4045.784876 
7, 9, 714.760756, 11894.850418 
7, 10, 833.312764, 14974.955526 
7, 11, 873.589618, 16862.959975 
7, 12, 790.970486, 13552.822392 
7, 13, 1071.419283, 18154.882986 
7, 14, 380.875778, 4953.011963 
7, 15, 318.853071, 4148.887850 
