% nodeID, nodeType, latDeg, lonDeg, altMeters, parcelWtLbs 
0, 0, 42.930958, -78.792566, 0.000000, -1.000000 
1, 1, 42.871870, -78.796016, 0.000000, 4.000000 
2, 1, 42.911374, -78.889824, 0.000000, 3.000000 
3, 1, 42.953526, -78.715348, 0.000000, 3.000000 
4, 1, 42.867672, -78.833868, 0.000000, 4.000000 
5, 1, 42.982158, -78.892804, 0.000000, 4.000000 
6, 1, 42.959606, -78.792120, 0.000000, 4.000000 
7, 1, 42.898911, -78.770855, 0.000000, 100.000000 
8, 1, 42.998004, -78.840058, 0.000000, 5.000000 
9, 1, 42.998153, -78.814639, 0.000000, 5.000000 
10, 1, 42.927146, -78.784021, 0.000000, 2.000000 
11, 1, 42.890565, -78.755204, 0.000000, 5.000000 
12, 1, 42.946956, -78.824554, 0.000000, 3.000000 
13, 1, 42.948629, -78.860462, 0.000000, 1.000000 
14, 1, 42.897832, -78.801054, 0.000000, 2.000000 
15, 1, 42.958675, -78.860115, 0.000000, 100.000000 
16, 1, 42.916223, -78.855113, 0.000000, 4.000000 
17, 1, 42.922166, -78.857341, 0.000000, 100.000000 
18, 1, 42.956571, -78.747151, 0.000000, 100.000000 
19, 1, 42.870358, -78.858475, 0.000000, 100.000000 
20, 1, 42.903929, -78.841677, 0.000000, 5.000000 
21, 1, 42.917541, -78.780784, 0.000000, 4.000000 
22, 1, 42.999001, -78.815596, 0.000000, 3.000000 
23, 1, 42.931935, -78.876679, 0.000000, 3.000000 
24, 1, 42.892093, -78.872355, 0.000000, 2.000000 
25, 1, 42.969293, -78.866801, 0.000000, 1.000000 
26, 1, 42.858864, -78.777266, 0.000000, 3.000000 
27, 1, 42.954378, -78.846179, 0.000000, 100.000000 
28, 1, 42.993731, -78.875750, 0.000000, 2.000000 
29, 1, 42.989946, -78.821430, 0.000000, 1.000000 
30, 1, 42.937013, -78.785000, 0.000000, 2.000000 
31, 1, 42.859138, -78.835403, 0.000000, 4.000000 
32, 1, 42.962201, -78.785672, 0.000000, 5.000000 
33, 1, 42.969900, -78.766350, 0.000000, 3.000000 
34, 1, 42.882989, -78.832082, 0.000000, 100.000000 
35, 1, 42.969326, -78.844593, 0.000000, 3.000000 
36, 1, 42.996092, -78.714521, 0.000000, 100.000000 
37, 1, 42.944531, -78.800356, 0.000000, 5.000000 
38, 1, 42.997625, -78.783336, 0.000000, 4.000000 
39, 1, 42.883939, -78.764454, 0.000000, 5.000000 
40, 1, 42.902823, -78.813904, 0.000000, 2.000000 
41, 1, 42.929115, -78.722396, 0.000000, 5.000000 
42, 1, 42.985575, -78.762476, 0.000000, 1.000000 
43, 1, 42.872333, -78.786705, 0.000000, 5.000000 
44, 1, 42.964490, -78.800093, 0.000000, 2.000000 
45, 1, 42.891677, -78.873669, 0.000000, 100.000000 
46, 1, 42.988248, -78.791968, 0.000000, 3.000000 
47, 1, 42.926048, -78.769477, 0.000000, 4.000000 
48, 1, 42.927018, -78.785898, 0.000000, 4.000000 
49, 1, 42.951774, -78.803888, 0.000000, 3.000000 
50, 1, 42.981589, -78.802123, 0.000000, 2.000000 
51, 1, 42.906420, -78.771537, 0.000000, 1.000000 
52, 1, 42.935223, -78.829366, 0.000000, 2.000000 
53, 1, 42.853571, -78.864667, 0.000000, 2.000000 
54, 1, 42.999223, -78.822086, 0.000000, 1.000000 
55, 1, 42.933199, -78.806013, 0.000000, 1.000000 
56, 1, 42.975190, -78.837788, 0.000000, 4.000000 
57, 1, 42.920833, -78.712574, 0.000000, 2.000000 
58, 1, 42.882237, -78.856090, 0.000000, 2.000000 
59, 1, 42.931869, -78.879191, 0.000000, 2.000000 
60, 1, 42.921068, -78.715670, 0.000000, 4.000000 
61, 1, 42.980484, -78.797975, 0.000000, 4.000000 
62, 1, 42.860540, -78.789716, 0.000000, 5.000000 
63, 1, 42.954401, -78.841529, 0.000000, 4.000000 
64, 1, 42.901878, -78.892199, 0.000000, 1.000000 
65, 1, 42.905620, -78.851311, 0.000000, 5.000000 
66, 1, 42.893582, -78.789351, 0.000000, 2.000000 
67, 1, 42.855313, -78.774838, 0.000000, 4.000000 
68, 1, 42.869848, -78.715654, 0.000000, 1.000000 
69, 1, 43.002944, -78.878924, 0.000000, 2.000000 
70, 1, 42.928619, -78.873743, 0.000000, 4.000000 
71, 1, 42.889850, -78.748814, 0.000000, 100.000000 
72, 1, 42.953097, -78.824615, 0.000000, 100.000000 
73, 1, 42.963251, -78.836174, 0.000000, 5.000000 
74, 1, 42.960019, -78.854019, 0.000000, 3.000000 
75, 1, 43.002834, -78.789892, 0.000000, 4.000000 
76, 1, 43.000626, -78.853906, 0.000000, 3.000000 
77, 1, 42.940468, -78.860409, 0.000000, 1.000000 
78, 1, 42.935913, -78.744173, 0.000000, 3.000000 
79, 1, 42.933040, -78.791511, 0.000000, 3.000000 
80, 1, 42.876744, -78.721193, 0.000000, 4.000000 
81, 1, 42.947432, -78.835163, 0.000000, 100.000000 
82, 1, 42.893105, -78.870687, 0.000000, 2.000000 
83, 1, 42.893467, -78.789353, 0.000000, 2.000000 
84, 1, 42.997863, -78.838981, 0.000000, 2.000000 
85, 1, 43.000455, -78.756485, 0.000000, 100.000000 
86, 1, 42.923014, -78.768461, 0.000000, 4.000000 
87, 1, 42.884386, -78.872439, 0.000000, 5.000000 
88, 1, 42.996180, -78.864991, 0.000000, 3.000000 
89, 1, 42.975708, -78.783807, 0.000000, 2.000000 
90, 1, 42.987953, -78.894531, 0.000000, 4.000000 
91, 1, 42.907213, -78.890907, 0.000000, 1.000000 
92, 1, 42.899586, -78.833567, 0.000000, 4.000000 
93, 1, 42.990100, -78.856959, 0.000000, 2.000000 
94, 1, 42.893892, -78.865114, 0.000000, 5.000000 
95, 1, 42.912273, -78.766627, 0.000000, 1.000000 
96, 1, 42.976341, -78.871572, 0.000000, 1.000000 
97, 1, 42.931601, -78.865902, 0.000000, 3.000000 
98, 1, 42.894257, -78.828241, 0.000000, 100.000000 
99, 1, 42.991122, -78.747848, 0.000000, 3.000000 
100, 1, 42.908196, -78.825347, 0.000000, 1.000000 
